Sample_Idx,True_Label,Pred_Label,Confidence,True_Prob,Margin,Center_X,Center_Y,Shift_Dx,Shift_Dy,Laplacian_Var,Risk_Category
44,0,9,0.2213,0.0873,0.134,15.13,15.9,0.87,0.1,486.65,CONFUSION
1765,1,7,0.2213,0.0901,0.1312,15.16,16.03,0.84,0.03,904.81,CONFUSION
2980,6,5,0.2213,0.0905,0.1308,15.46,15.28,0.54,0.72,536.17,CONFUSION
2563,4,2,0.2213,0.0887,0.1326,15.35,15.5,0.65,0.5,1245.5,CONFUSION
3486,9,5,0.2213,0.086,0.1353,15.37,15.76,0.63,0.24,1947.07,CONFUSION
1605,1,7,0.2206,0.0888,0.1318,15.67,15.7,0.33,0.3,334.66,CONFUSION
1587,1,7,0.2206,0.0905,0.1301,15.77,15.54,0.23,0.46,255.46,CONFUSION
1745,1,7,0.2206,0.0895,0.1311,15.49,15.52,0.51,0.48,188.85,CONFUSION
2847,5,3,0.2198,0.0902,0.1296,15.58,15.82,0.42,0.18,92.44,CONFUSION
2857,5,3,0.2191,0.0906,0.1285,15.25,15.42,0.75,0.58,859.06,CONFUSION
1770,1,7,0.2191,0.0892,0.1299,15.57,15.9,0.43,0.1,116.22,CONFUSION
1532,0,9,0.2191,0.0903,0.1288,15.45,15.55,0.55,0.45,1958.76,CONFUSION
427,0,7,0.2184,0.0869,0.1315,15.65,15.46,0.35,0.54,477.16,CONFUSION
484,0,3,0.2184,0.0882,0.1302,15.53,14.99,0.47,1.01,3150.5,CONFUSION
164,0,3,0.2176,0.0866,0.131,15.33,15.35,0.67,0.65,1670.75,CONFUSION
1910,1,7,0.2176,0.0921,0.1254,15.53,15.22,0.47,0.78,724.06,CONFUSION
2700,5,3,0.2169,0.0876,0.1292,15.28,15.63,0.72,0.37,689.93,CONFUSION
3523,9,5,0.2168,0.0862,0.1306,16.63,14.46,0.63,1.54,1220.13,CONFUSION
514,0,6,0.2168,0.0929,0.1239,16.33,15.8,0.33,0.2,1199.2,CONFUSION
1863,1,7,0.2162,0.0908,0.1254,15.41,15.72,0.59,0.28,249.35,CONFUSION
649,0,3,0.2155,0.0891,0.1263,14.79,15.15,1.21,0.85,151.53,CONFUSION
2166,2,3,0.2154,0.0919,0.1235,14.84,15.07,1.16,0.93,1470.19,CONFUSION
1348,0,6,0.2146,0.0898,0.1248,16.05,15.39,0.05,0.61,186.85,CONFUSION
3533,9,8,0.2146,0.0919,0.1227,15.06,15.04,0.94,0.96,684.95,CONFUSION
1,0,3,0.214,0.0913,0.1227,15.48,15.99,0.52,0.01,137.98,CONFUSION
3277,8,5,0.214,0.0875,0.1265,15.64,15.46,0.36,0.54,408.19,CONFUSION
3443,8,4,0.2132,0.0939,0.1193,15.23,14.95,0.77,1.05,1027.2,CONFUSION
2806,5,2,0.2125,0.0914,0.1211,15.22,16.01,0.78,0.01,489.55,CONFUSION
298,0,5,0.2125,0.0875,0.1249,15.7,16.24,0.3,0.24,774.18,CONFUSION
1625,1,7,0.2124,0.0957,0.1167,15.69,15.74,0.31,0.26,1059.75,CONFUSION
1117,0,9,0.2124,0.0946,0.1178,15.55,15.59,0.45,0.41,566.97,CONFUSION
1919,1,7,0.2117,0.0914,0.1203,15.66,15.62,0.34,0.38,1487.02,CONFUSION
442,0,6,0.211,0.0915,0.1195,15.55,16.41,0.45,0.41,192.36,CONFUSION
3340,8,2,0.211,0.0866,0.1244,15.51,15.15,0.49,0.85,608.79,CONFUSION
2271,3,5,0.2103,0.089,0.1212,15.43,15.89,0.57,0.11,559.88,CONFUSION
16,0,6,0.2103,0.0922,0.1181,15.99,15.5,0.01,0.5,743.5,CONFUSION
1461,0,2,0.2095,0.0877,0.1218,15.77,16.23,0.23,0.23,1151.85,CONFUSION
3204,7,3,0.2081,0.0888,0.1193,15.57,15.87,0.43,0.13,1477.83,CONFUSION
2992,6,8,0.208,0.0971,0.1109,15.78,15.5,0.22,0.5,846.33,CONFUSION
1577,1,7,0.208,0.0971,0.1109,15.62,15.74,0.38,0.26,453.94,CONFUSION
1873,1,7,0.2074,0.0983,0.109,15.69,15.13,0.31,0.87,1265.38,CONFUSION
1909,1,3,0.2074,0.0872,0.1203,15.75,15.37,0.25,0.63,484.15,CONFUSION
860,0,6,0.2074,0.0957,0.1117,15.25,15.22,0.75,0.78,211.44,CONFUSION
2969,6,5,0.2074,0.0903,0.1172,15.77,15.3,0.23,0.7,344.62,CONFUSION
3420,8,5,0.2067,0.0928,0.1139,15.31,15.3,0.69,0.7,1456.11,CONFUSION
1692,1,7,0.2066,0.0984,0.1082,15.5,15.63,0.5,0.37,207.13,CONFUSION
27,0,3,0.206,0.0921,0.1139,15.95,15.67,0.05,0.33,1375.79,CONFUSION
84,0,5,0.2054,0.0901,0.1153,15.5,15.45,0.5,0.55,1235.21,CONFUSION
18,0,6,0.2046,0.0929,0.1116,15.42,15.56,0.58,0.44,73.28,CONFUSION
478,0,6,0.2038,0.0959,0.1079,16.19,15.75,0.19,0.25,372.98,CONFUSION
3464,9,8,0.2037,0.1001,0.1037,15.33,15.31,0.67,0.69,629.83,CONFUSION
1629,1,7,0.203,0.0997,0.1033,13.93,15.58,2.07,0.42,1104.18,CONFUSION
448,0,7,0.2011,0.0969,0.1042,15.53,15.66,0.47,0.34,181.14,CONFUSION
1937,1,3,0.2004,0.0872,0.1132,15.73,15.18,0.27,0.82,327.74,CONFUSION
959,0,9,0.1989,0.0897,0.1093,16.03,16.13,0.03,0.13,290.48,CONFUSION
101,0,6,0.1988,0.1035,0.0952,15.27,15.11,0.73,0.89,712.89,CONFUSION
1557,1,7,0.1988,0.1015,0.0973,15.39,15.73,0.61,0.27,767.11,CONFUSION
3457,8,5,0.1982,0.0947,0.1035,15.49,14.87,0.51,1.13,1140.43,CONFUSION
3048,6,8,0.1982,0.0947,0.1035,15.83,16.05,0.17,0.05,232.1,CONFUSION
1936,1,7,0.1981,0.1036,0.0945,15.66,15.33,0.34,0.67,503.48,CONFUSION
62,0,9,0.1976,0.0997,0.0978,15.37,15.15,0.63,0.85,438.03,CONFUSION
661,0,9,0.1974,0.1032,0.0942,15.59,15.38,0.41,0.62,541.27,CONFUSION
1771,1,7,0.1968,0.0894,0.1074,16.06,15.45,0.06,0.55,206.42,CONFUSION
263,0,9,0.1967,0.1033,0.0935,15.82,15.37,0.18,0.63,1367.97,CONFUSION
2252,3,9,0.1948,0.0906,0.1042,15.77,15.59,0.23,0.41,650.55,CONFUSION
1198,0,9,0.1939,0.1054,0.0885,15.76,15.23,0.24,0.77,1507.11,CONFUSION
2532,4,2,0.1934,0.0995,0.0938,14.9,15.99,1.1,0.01,1064.52,CONFUSION
3345,8,6,0.1934,0.0969,0.0965,15.88,14.96,0.12,1.04,1788.0,CONFUSION
1355,0,6,0.1928,0.0907,0.1021,15.31,15.25,0.69,0.75,109.72,CONFUSION
1666,1,7,0.1925,0.1076,0.0849,15.56,15.64,0.44,0.36,871.08,CONFUSION
855,0,7,0.192,0.0996,0.0924,15.55,15.63,0.45,0.37,202.84,CONFUSION
2914,6,8,0.192,0.091,0.1009,15.76,15.46,0.24,0.54,304.98,CONFUSION
1084,0,6,0.1912,0.0875,0.1036,15.05,15.25,0.95,0.75,1309.21,CONFUSION
1930,1,3,0.1906,0.0959,0.0948,15.38,15.79,0.62,0.21,621.63,CONFUSION
1796,1,7,0.1905,0.1077,0.0828,15.49,15.6,0.51,0.4,1100.26,CONFUSION
148,0,7,0.1901,0.0994,0.0907,15.8,15.43,0.2,0.57,609.26,CONFUSION
433,0,3,0.1894,0.0927,0.0967,15.0,15.41,1.0,0.59,2308.55,CONFUSION
57,0,3,0.188,0.0949,0.0931,15.74,15.52,0.26,0.48,325.84,CONFUSION
3454,8,3,0.188,0.0949,0.0931,14.88,15.8,1.12,0.2,1566.9,CONFUSION
2384,3,8,0.1878,0.0877,0.1001,15.29,15.55,0.71,0.45,286.82,CONFUSION
1764,1,7,0.1878,0.1099,0.0778,15.63,15.66,0.37,0.34,561.46,CONFUSION
790,0,3,0.1873,0.1046,0.0826,15.66,14.95,0.34,1.05,1237.57,CONFUSION
1021,0,7,0.1867,0.0957,0.091,15.44,15.67,0.56,0.33,113.03,CONFUSION
3083,7,3,0.1867,0.1007,0.086,15.39,15.97,0.61,0.03,1084.72,CONFUSION
1568,1,0,0.1862,0.0947,0.0915,15.68,15.71,0.32,0.29,143.93,CONFUSION
1492,0,3,0.1862,0.097,0.0892,15.8,15.9,0.2,0.1,503.86,CONFUSION
1065,0,7,0.186,0.1007,0.0853,16.45,16.23,0.45,0.23,606.31,CONFUSION
3601,9,3,0.1855,0.0966,0.0889,15.2,15.38,0.8,0.62,1045.8,CONFUSION
1593,1,7,0.1855,0.0993,0.0862,15.75,15.96,0.25,0.04,174.38,CONFUSION
1839,1,0,0.1853,0.0958,0.0895,15.77,16.01,0.23,0.01,628.07,CONFUSION
3278,8,9,0.1847,0.1008,0.0839,16.09,16.01,0.09,0.01,1149.55,CONFUSION
1562,1,7,0.1846,0.1048,0.0798,15.55,15.61,0.45,0.39,376.68,CONFUSION
3579,9,5,0.1846,0.0886,0.096,16.76,14.45,0.76,1.55,1479.72,CONFUSION
1096,0,9,0.1844,0.0878,0.0966,16.05,15.97,0.05,0.03,338.82,CONFUSION
2469,4,2,0.1841,0.0993,0.0848,15.14,15.0,0.86,1.0,1719.53,CONFUSION
1569,1,7,0.1841,0.1025,0.0816,15.9,15.44,0.1,0.56,514.75,CONFUSION
244,0,3,0.1839,0.1068,0.077,15.47,15.7,0.53,0.3,1265.84,CONFUSION
1597,1,7,0.1838,0.1093,0.0745,15.34,15.65,0.66,0.35,2560.52,CONFUSION
3172,7,1,0.1837,0.1127,0.071,15.75,16.26,0.25,0.26,392.72,CONFUSION
1430,0,7,0.1833,0.094,0.0893,15.51,16.11,0.49,0.11,121.88,CONFUSION
142,0,6,0.1828,0.0901,0.0927,15.43,15.17,0.57,0.83,618.87,CONFUSION
2577,4,2,0.1826,0.1024,0.0802,15.22,16.43,0.78,0.43,1372.63,CONFUSION
2754,5,3,0.1822,0.1006,0.0816,15.49,16.02,0.51,0.02,191.86,CONFUSION
1074,0,2,0.1816,0.0888,0.0927,15.7,16.2,0.3,0.2,1873.98,CONFUSION
995,0,3,0.1816,0.0968,0.0848,15.47,15.36,0.53,0.64,875.98,CONFUSION
2789,5,2,0.1815,0.092,0.0895,15.2,15.53,0.8,0.47,905.4,CONFUSION
1494,0,7,0.1808,0.0906,0.0903,15.39,15.75,0.61,0.25,138.52,CONFUSION
457,0,9,0.1806,0.1091,0.0715,15.58,15.53,0.42,0.47,357.72,CONFUSION
1946,1,7,0.1805,0.1156,0.0649,15.78,15.88,0.22,0.12,2223.7,CONFUSION
2676,5,2,0.1802,0.0928,0.0874,15.37,15.99,0.63,0.01,240.5,CONFUSION
3192,7,1,0.18,0.1122,0.0678,15.58,15.7,0.42,0.3,542.31,CONFUSION
3093,7,2,0.1799,0.1091,0.0708,15.18,15.6,0.82,0.4,2022.27,CONFUSION
1466,0,3,0.1792,0.1153,0.064,14.85,15.35,1.15,0.65,2412.9,CONFUSION
1149,0,6,0.1785,0.1153,0.0633,15.89,15.68,0.11,0.32,731.61,CONFUSION
3138,7,2,0.1774,0.1115,0.066,15.3,15.98,0.7,0.02,1273.68,CONFUSION
242,0,9,0.177,0.102,0.0749,15.21,15.57,0.79,0.43,367.88,CONFUSION
199,0,9,0.1769,0.1086,0.0683,15.52,15.49,0.48,0.51,347.83,CONFUSION
2074,2,4,0.1763,0.0947,0.0816,15.19,15.3,0.81,0.7,206.83,CONFUSION
1918,1,4,0.1758,0.0934,0.0824,15.23,15.85,0.77,0.15,235.15,CONFUSION
3525,9,5,0.1757,0.1001,0.0756,15.23,15.36,0.77,0.64,121.85,CONFUSION
2547,4,2,0.1757,0.0963,0.0794,14.31,16.19,1.69,0.19,617.57,CONFUSION
2681,5,2,0.1756,0.1086,0.067,14.67,14.9,1.33,1.1,198.07,CONFUSION
1555,0,9,0.175,0.1001,0.0749,15.97,16.26,0.03,0.26,437.63,CONFUSION
2487,4,7,0.175,0.0948,0.0802,15.25,15.08,0.75,0.92,115.85,CONFUSION
1014,0,7,0.1745,0.1018,0.0727,15.62,15.14,0.38,0.86,935.04,CONFUSION
2844,5,3,0.1745,0.0956,0.0789,15.06,15.6,0.94,0.4,200.4,CONFUSION
1174,0,5,0.1738,0.0895,0.0843,15.72,15.94,0.28,0.06,1321.73,CONFUSION
867,0,7,0.1737,0.0956,0.0782,15.26,15.64,0.74,0.36,315.34,CONFUSION
3177,7,2,0.1726,0.0987,0.0739,15.36,15.42,0.64,0.58,159.96,CONFUSION
1735,1,7,0.1726,0.1219,0.0507,15.66,15.6,0.34,0.4,2260.74,CONFUSION
3017,6,5,0.1726,0.1219,0.0507,15.34,15.8,0.66,0.2,229.63,CONFUSION
340,0,9,0.1725,0.0938,0.0787,15.94,15.46,0.06,0.54,984.05,CONFUSION
1015,0,3,0.1722,0.1174,0.0548,15.73,14.68,0.27,1.32,639.69,CONFUSION
3222,7,2,0.1721,0.0907,0.0814,15.3,15.67,0.7,0.33,94.89,CONFUSION
361,0,1,0.1717,0.0986,0.0731,16.03,15.91,0.03,0.09,246.24,CONFUSION
1813,1,7,0.1714,0.1,0.0714,15.1,15.56,0.9,0.44,876.94,CONFUSION
141,0,5,0.1712,0.1105,0.0607,14.96,16.1,1.04,0.1,2034.97,CONFUSION
210,0,9,0.1711,0.1135,0.0576,15.62,15.01,0.38,0.99,654.45,CONFUSION
46,0,6,0.1708,0.0896,0.0811,16.0,15.32,0.0,0.68,237.75,CONFUSION
2679,5,2,0.1707,0.1077,0.063,14.91,14.98,1.09,1.02,1369.1,CONFUSION
2468,4,3,0.1703,0.1171,0.0533,15.26,14.97,0.74,1.03,1455.85,CONFUSION
868,0,9,0.1696,0.0933,0.0763,15.42,15.65,0.58,0.35,1529.36,CONFUSION
1575,1,7,0.1688,0.1052,0.0636,15.53,15.46,0.47,0.54,246.37,CONFUSION
3508,9,6,0.1685,0.1167,0.0518,15.33,15.17,0.67,0.83,941.31,CONFUSION
908,0,6,0.1684,0.1208,0.0476,15.29,15.65,0.71,0.35,341.56,CONFUSION
3560,9,5,0.1683,0.0974,0.0709,15.35,15.46,0.65,0.54,111.34,CONFUSION
451,0,6,0.1681,0.1254,0.0427,14.79,15.58,1.21,0.42,761.92,CONFUSION
3029,6,2,0.1676,0.089,0.0786,14.99,15.69,1.01,0.31,783.07,CONFUSION
3036,6,5,0.1675,0.1255,0.0421,15.7,15.43,0.3,0.57,723.65,CONFUSION
2967,6,5,0.1671,0.0983,0.0689,15.6,15.46,0.4,0.54,215.12,CONFUSION
2765,5,2,0.1671,0.1204,0.0467,15.45,15.53,0.55,0.47,978.63,CONFUSION
1145,0,9,0.1669,0.0907,0.0761,15.86,15.6,0.14,0.4,1424.14,CONFUSION
492,0,7,0.1665,0.105,0.0615,15.72,15.47,0.28,0.53,928.04,CONFUSION
1591,1,7,0.1664,0.1247,0.0418,15.19,15.73,0.81,0.27,1409.52,CONFUSION
180,0,9,0.1664,0.0952,0.0712,15.47,15.51,0.53,0.49,1668.9,CONFUSION
3064,6,5,0.1662,0.1125,0.0537,15.52,15.71,0.48,0.29,1361.28,CONFUSION
2686,5,3,0.166,0.1011,0.0649,15.2,15.39,0.8,0.61,390.84,CONFUSION
782,0,7,0.1656,0.0981,0.0675,15.64,15.48,0.36,0.52,168.5,CONFUSION
3298,8,4,0.165,0.1157,0.0494,15.04,14.29,0.96,1.71,1267.9,CONFUSION
3130,7,4,0.1643,0.0886,0.0757,15.25,15.49,0.75,0.51,316.35,CONFUSION
1884,1,7,0.1638,0.1152,0.0485,15.32,15.61,0.68,0.39,517.31,CONFUSION
847,0,3,0.1634,0.1238,0.0396,15.98,15.18,0.02,0.82,1413.75,CONFUSION
1875,1,7,0.1632,0.1291,0.0341,15.71,15.58,0.29,0.42,220.79,CONFUSION
922,0,3,0.1629,0.1235,0.0395,15.9,15.56,0.1,0.44,744.47,CONFUSION
1170,0,6,0.1627,0.1119,0.0509,15.51,15.47,0.49,0.53,395.56,CONFUSION
1711,1,7,0.1626,0.1286,0.034,15.25,15.74,0.75,0.26,714.87,CONFUSION
1954,2,5,0.1623,0.1235,0.0388,15.08,15.14,0.92,0.86,2357.16,CONFUSION
1789,1,7,0.1621,0.1282,0.0339,15.5,15.62,0.5,0.38,109.25,CONFUSION
1294,0,6,0.162,0.1287,0.0334,16.3,15.41,0.3,0.59,2073.2,CONFUSION
1964,2,3,0.1618,0.094,0.0678,15.45,15.33,0.55,0.67,644.48,CONFUSION
2610,4,7,0.1618,0.094,0.0678,15.19,15.34,0.81,0.66,185.25,CONFUSION
53,0,6,0.1617,0.123,0.0387,15.49,15.83,0.51,0.17,849.1,CONFUSION
3158,7,2,0.1614,0.1282,0.0332,15.32,15.54,0.68,0.46,841.39,CONFUSION
3369,8,4,0.1613,0.0894,0.0719,15.4,15.15,0.6,0.85,252.12,CONFUSION
1689,1,7,0.1604,0.1273,0.033,15.61,15.37,0.39,0.63,346.84,CONFUSION
2912,6,2,0.1599,0.0904,0.0695,15.68,15.64,0.32,0.36,504.57,CONFUSION
249,0,3,0.1598,0.0943,0.0655,15.64,15.28,0.36,0.72,422.88,CONFUSION
1730,1,7,0.1593,0.1275,0.0318,15.77,15.93,0.23,0.07,337.15,CONFUSION
2533,4,3,0.1593,0.127,0.0323,15.2,15.59,0.8,0.41,1100.43,CONFUSION
1876,1,7,0.1592,0.1274,0.0318,15.79,15.7,0.21,0.3,836.8,CONFUSION
106,0,7,0.1591,0.0957,0.0633,15.33,15.75,0.67,0.25,154.63,CONFUSION
3,0,9,0.159,0.1141,0.0449,15.27,16.05,0.73,0.05,1070.56,CONFUSION
1590,1,7,0.1589,0.1327,0.0261,15.67,15.46,0.33,0.54,89.83,CONFUSION
1651,1,7,0.1583,0.1328,0.0255,15.63,15.36,0.37,0.64,466.47,CONFUSION
1181,0,3,0.1582,0.1266,0.0316,15.57,15.25,0.43,0.75,1258.51,CONFUSION
2952,6,5,0.1581,0.0901,0.068,15.68,15.85,0.32,0.15,926.61,CONFUSION
1981,2,3,0.1578,0.1173,0.0405,15.35,15.2,0.65,0.8,863.01,CONFUSION
900,0,6,0.1575,0.1037,0.0538,15.24,15.82,0.76,0.18,3654.93,CONFUSION
3613,9,0,0.1575,0.1001,0.0574,16.09,15.7,0.09,0.3,308.12,CONFUSION
435,0,1,0.1573,0.1169,0.0404,17.67,12.14,1.67,3.86,83.43,CONFUSION
2511,4,2,0.1568,0.117,0.0398,14.0,14.89,2.0,1.11,3645.08,CONFUSION
3413,8,9,0.1567,0.1314,0.0253,15.7,15.64,0.3,0.36,2183.45,CONFUSION
212,0,6,0.1567,0.1319,0.0247,15.39,15.37,0.61,0.63,496.53,CONFUSION
1885,1,7,0.1566,0.0988,0.0578,15.26,15.34,0.74,0.66,321.67,CONFUSION
3329,8,5,0.1565,0.1003,0.0563,15.25,15.91,0.75,0.09,330.98,CONFUSION
1012,0,9,0.156,0.1205,0.0354,15.93,15.03,0.07,0.97,1052.13,CONFUSION
1217,0,6,0.1558,0.1257,0.0301,15.74,14.88,0.26,1.12,888.95,CONFUSION
1497,0,9,0.1556,0.089,0.0666,15.47,16.03,0.53,0.03,886.29,CONFUSION
757,0,9,0.1555,0.0911,0.0645,15.51,15.39,0.49,0.61,231.21,CONFUSION
468,0,9,0.1551,0.0941,0.061,15.29,15.56,0.71,0.44,241.69,CONFUSION
202,0,6,0.1547,0.1371,0.0176,15.7,15.48,0.3,0.52,428.28,CONFUSION
1400,0,6,0.1547,0.1371,0.0176,16.31,15.62,0.31,0.38,289.21,CONFUSION
728,0,6,0.1547,0.1371,0.0176,15.72,15.3,0.28,0.7,1881.38,CONFUSION
1934,1,3,0.1546,0.0956,0.059,15.19,15.56,0.81,0.44,954.07,CONFUSION
1565,1,7,0.1544,0.1305,0.0239,15.36,15.3,0.64,0.7,1222.46,CONFUSION
3540,9,8,0.1543,0.1202,0.0341,17.82,15.58,1.82,0.42,928.67,CONFUSION
897,0,2,0.1538,0.0951,0.0587,14.95,15.38,1.05,0.62,49.94,CONFUSION
2819,5,2,0.1537,0.1367,0.017,15.11,14.93,0.89,1.07,1107.74,CONFUSION
1751,1,7,0.1537,0.1367,0.017,15.56,15.53,0.44,0.47,599.97,CONFUSION
511,0,5,0.1535,0.1127,0.0408,15.88,15.54,0.12,0.46,2815.5,CONFUSION
2840,5,2,0.1535,0.1123,0.0412,14.38,15.6,1.62,0.4,3344.58,CONFUSION
2729,5,2,0.1534,0.1127,0.0407,15.11,16.21,0.89,0.21,86.62,CONFUSION
2221,3,5,0.1533,0.0905,0.0628,15.13,15.8,0.87,0.2,1666.99,CONFUSION
1904,1,7,0.1528,0.1297,0.0231,15.74,16.0,0.26,0.0,887.83,CONFUSION
1583,1,7,0.1527,0.1194,0.0333,15.54,15.58,0.46,0.42,59.07,CONFUSION
966,0,6,0.1526,0.1357,0.0169,16.62,15.98,0.62,0.02,624.02,CONFUSION
255,0,3,0.1526,0.1358,0.0169,17.36,14.82,1.36,1.18,2583.47,CONFUSION
704,0,3,0.1523,0.1292,0.023,16.12,15.81,0.12,0.19,2567.9,CONFUSION
925,0,3,0.1523,0.1293,0.0231,15.45,15.55,0.55,0.45,550.5,CONFUSION
625,0,6,0.1522,0.1066,0.0455,15.33,16.04,0.67,0.04,370.29,CONFUSION
2465,4,3,0.1518,0.1288,0.023,15.29,15.54,0.71,0.46,424.05,CONFUSION
1042,0,1,0.1516,0.1153,0.0363,15.66,15.55,0.34,0.45,51.83,CONFUSION
3371,8,9,0.1513,0.1235,0.0278,15.32,15.39,0.68,0.61,934.92,CONFUSION
1815,1,7,0.1512,0.1283,0.0229,15.46,15.84,0.54,0.16,575.74,CONFUSION
288,0,3,0.1512,0.0942,0.0569,15.21,15.5,0.79,0.5,519.53,CONFUSION
246,0,3,0.1507,0.109,0.0417,15.39,15.34,0.61,0.66,834.65,CONFUSION
149,0,7,0.1502,0.1116,0.0386,15.51,16.32,0.49,0.32,591.41,CONFUSION
1072,0,3,0.1502,0.1008,0.0493,15.39,15.22,0.61,0.78,1505.73,CONFUSION
978,0,6,0.1499,0.1114,0.0385,15.62,15.46,0.38,0.54,319.75,CONFUSION
1413,0,9,0.1499,0.0964,0.0535,15.12,15.78,0.88,0.22,397.07,CONFUSION
3183,7,2,0.1498,0.1228,0.0271,15.2,15.47,0.8,0.53,3115.17,CONFUSION
3532,9,5,0.1497,0.0941,0.0557,15.58,15.27,0.42,0.73,214.21,CONFUSION
739,0,9,0.1495,0.1405,0.0091,15.89,15.41,0.11,0.59,653.91,CONFUSION
1273,0,6,0.1495,0.0896,0.0599,15.79,15.97,0.21,0.03,770.1,CONFUSION
391,0,6,0.1495,0.141,0.0085,16.42,14.83,0.42,1.17,321.99,CONFUSION
211,0,3,0.1493,0.0902,0.0591,15.47,15.18,0.53,0.82,1215.45,CONFUSION
2558,4,1,0.1491,0.1275,0.0216,15.28,15.24,0.72,0.76,170.46,CONFUSION
1415,0,6,0.149,0.1405,0.0085,15.68,15.63,0.32,0.37,2259.06,CONFUSION
2791,5,2,0.1488,0.1334,0.0154,15.45,15.43,0.55,0.57,254.79,CONFUSION
3034,6,8,0.1485,0.1271,0.0215,15.88,15.22,0.12,0.78,418.55,CONFUSION
1669,1,7,0.1485,0.14,0.0085,15.53,15.22,0.47,0.78,987.14,CONFUSION
698,0,5,0.1485,0.0908,0.0577,16.16,14.37,0.16,1.63,2587.91,CONFUSION
1559,1,7,0.1483,0.133,0.0154,15.57,15.26,0.43,0.74,365.77,CONFUSION
241,0,6,0.1482,0.0917,0.0565,15.6,15.51,0.4,0.49,330.05,CONFUSION
3220,7,3,0.1482,0.1039,0.0443,14.43,15.85,1.57,0.15,1273.99,CONFUSION
1441,0,1,0.1472,0.091,0.0562,14.72,14.66,1.28,1.34,689.66,CONFUSION
2056,2,7,0.147,0.0971,0.0498,15.2,15.33,0.8,0.67,702.95,CONFUSION
774,0,1,0.147,0.0979,0.0491,15.66,15.85,0.34,0.15,169.71,CONFUSION
1687,1,7,0.1469,0.0979,0.049,15.41,15.55,0.59,0.45,531.72,CONFUSION
2241,3,5,0.1467,0.0943,0.0524,14.77,15.66,1.23,0.34,365.24,CONFUSION
1865,1,7,0.1464,0.1018,0.0446,15.35,15.41,0.65,0.59,1357.67,CONFUSION
2438,3,1,0.1463,0.1006,0.0458,15.87,14.12,0.13,1.88,115.82,CONFUSION
3226,7,3,0.1461,0.1004,0.0457,15.22,15.22,0.78,0.78,623.05,CONFUSION
3451,8,5,0.146,0.1169,0.0291,15.38,15.22,0.62,0.78,1264.68,CONFUSION
1427,0,9,0.1459,0.1258,0.0201,15.24,16.35,0.76,0.35,949.83,CONFUSION
